Date,Open,High,Low,Close,Adj Close,Volume
2019-10-08,23.600000,23.900000,22.330000,23.209999,23.209999,2902100
2019-10-09,23.629999,24.799999,23.250000,24.000000,24.000000,3165600
2019-10-10,24.100000,24.200001,22.799999,23.139999,23.139999,3490300
2019-10-11,23.100000,23.400000,22.110001,22.389999,22.389999,3394900
2019-10-14,22.170000,22.280001,21.400000,21.469999,21.469999,2651100
2019-10-15,21.510000,23.680000,21.510000,23.445000,23.445000,2871400
2019-10-16,23.540001,23.540001,22.459999,23.030001,23.030001,2457000
2019-10-17,23.000000,23.959999,23.000000,23.860001,23.860001,1185400
2019-10-18,24.299999,24.680000,23.120001,23.520000,23.520000,3392200
2019-10-21,23.990000,24.370001,21.774000,22.260000,22.260000,7992800
2019-10-22,22.670000,22.698000,20.930000,21.160000,21.160000,5875400
2019-10-23,21.129999,21.740000,20.459999,21.080000,21.080000,4938000
2019-10-24,21.240000,21.450001,20.700001,21.340000,21.340000,2684500
2019-10-25,21.129999,23.090000,21.000000,22.400000,22.400000,2517700
2019-10-28,22.549999,22.670000,21.450001,21.459999,21.459999,4159900
2019-10-29,21.570000,24.160000,21.430000,23.180000,23.180000,5125200
2019-10-30,23.320000,23.735001,22.660000,23.719999,23.719999,2481800
2019-10-31,23.490000,23.940001,22.910000,23.870001,23.870001,1910100
2019-11-01,23.870001,25.299999,23.753000,24.990000,24.990000,4894700
2019-11-04,25.299999,26.500000,23.540001,24.610001,24.610001,5985100
2019-11-05,24.049999,24.250000,22.250000,22.740000,22.740000,13499900
2019-11-06,22.930000,23.200001,22.290001,23.020000,23.020000,3778400
2019-11-07,23.020000,23.309999,22.410000,22.629999,22.629999,2818800
2019-11-08,22.450001,23.549999,22.250000,23.520000,23.520000,2897100
2019-11-11,23.440001,24.170000,22.450001,24.040001,24.040001,2895700
2019-11-12,24.320000,24.990000,24.190001,24.690001,24.690001,2374800
2019-11-13,24.459999,26.853001,24.150000,25.980000,25.980000,6242500
2019-11-14,26.200001,26.260000,25.400000,25.930000,25.930000,3036300
2019-11-15,26.010000,28.820000,25.709999,27.230000,27.230000,7295000
2019-11-18,27.340000,30.360001,26.240000,30.250000,30.250000,9065200
2019-11-19,29.990000,32.009998,28.799999,29.240000,29.240000,6946000
2019-11-20,29.090000,29.990000,27.750000,29.100000,29.100000,2565100
2019-11-21,29.129999,30.000000,28.660999,29.799999,29.799999,1706700
2019-11-22,30.110001,30.650000,28.900000,29.360001,29.360001,1639400
2019-11-25,29.490000,31.110001,29.490000,30.870001,30.870001,2920900
2019-11-26,31.410000,31.500000,29.747000,30.959999,30.959999,2217100
2019-11-27,31.049999,33.070000,29.850000,32.160000,32.160000,4229800
2019-11-29,32.660000,35.750000,32.509998,35.230000,35.230000,5680000
2019-12-02,35.299999,37.020000,32.959999,36.840000,36.840000,6578100
2019-12-03,35.910000,36.000000,33.139999,33.480000,33.480000,7836100
2019-12-04,34.779999,35.299999,31.219999,32.959999,32.959999,8624600
2019-12-05,33.650002,33.650002,30.510000,31.309999,31.309999,6496100
2019-12-06,31.799999,33.389999,31.360001,32.630001,32.630001,6812300
2019-12-09,33.310001,35.349998,33.040001,34.770000,34.770000,7761400
2019-12-10,35.040001,35.099998,31.620001,32.779999,32.779999,13158400
2019-12-11,32.119999,32.380001,29.870001,32.029999,32.029999,7289000
2019-12-12,31.620001,32.360001,29.860001,30.850000,30.850000,6793700
2019-12-13,30.990000,31.969999,30.250000,31.530001,31.530001,3306100
